"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"TID_EVENT_MODIFIER_DESC_50","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","В этой комнате могут применяться дополнительные параметры игры.","This game room can have additional parameters set.","Bu oyun odasında bazı ek parametreler ayarlı.","This game room can have additional parameters set."
"TID_EVENT_MODIFIER_DESC_51","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Заполняющий карту яд будет полностью отключен.","Map filling poison will be completely disabled.","Haritayı dolduran zehir tamamen devre dışı bırakılacak.","Map filling poison will be completely disabled."
"TID_EVENT_MODIFIER_DESC_52","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","Все выбранные персонажи всегда видны создателю комнаты.","All selected brawlers are always shown to the room owner.","Seçilen savaşçılar oyun kurucusuna gözükür.","All selected brawlers are always shown to the room owner."
"TID_EVENT_MODIFIER_DESC_53","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Чат дружеской комнаты доступен даже в бою!","Team chat is available even in battle!","Takım sohbeti savaşların içinde kullanılabilir!","Team chat is available even in battle!"
"TID_GAME_MODE_19","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","ЗАЩИТА КОРОЛЯ","PROTECT KING","KRALI KORU","PROTECT KING"
"TID_GAME_MODE_19_DESC","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Секретный режим Brawl Stars. У каждой команды есть Король - боец с большим количеством здоровья. Если он погибает, команда противников одержит победу. Защити его!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Gizli Brawl Stars oyun modu. Her takımın bir kralı olur - canı çok olan savaşçı. Kralın ölürse, rakip takım kazanır. Onu koru!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!"
"TID_LOGIN_BLOCKED_FAQ",,,,,,,,,,,,,,,,,,"https://telegra.ph/Kak-ustanovit-Nulls-Brawl-na-iOS-04-23",,,
"TID_MATCHMAKE_FAILED_100","Battle start failed: servers are full or not available. Try again later.","فشل بدء المعركة: الخوادم ممتلئة أو غير متوفرة. حاول مرة أخرى لاحقاً.","对战开始失败：服务器已满或不可用。请稍后重试。","對戰開始失敗：伺服器已滿或不可用。請稍後再試。","Kampfbeginn fehlgeschlagen: Server sind voll oder nicht verfügbar. Versuche es später erneut.","Error al iniciar la batalla: los servidores están llenos o no disponibles. Inténtalo de nuevo más tarde.","Taistelun aloitus epäonnistui: palvelimet ovat täynnä tai eivät ole käytettävissä. Yritä myöhemmin uudelleen.","Échec du lancement de la bataille : les serveurs sont pleins ou indisponibles. Réessayez plus tard.","התחלת הקרב נכשלה: השרתים מלאים או לא זמינים. נסה שוב מאוחר יותר.","Gagal memulai pertempuran: server penuh atau tidak tersedia. Coba lagi nanti.","Avvio della battaglia fallito: i server sono pieni o non disponibili. Riprova più tardi.","バトル開始に失敗しました：サーバーが満員か利用できません。後でもう一度お試しください。","전투 시작 실패: 서버가 가득 찼거나 사용 불가입니다. 나중에 다시 시도해 주세요.","Permulaan pertempuran gagal: pelayan penuh atau tidak tersedia. Sila cuba lagi nanti.","Start van het gevecht mislukt: servers zijn vol of niet beschikbaar. Probeer het later opnieuw.","Nie udało się rozpocząć bitwy: serwery są pełne lub niedostępne. Spróbuj ponownie później.","Falha ao iniciar a batalha: servidores cheios ou indisponíveis. Tente novamente mais tarde.","Начать бой не удалось: сервера заполнены или недоступны. Попробуйте позже.","เริ่มการต่อสู้ล้มเหลว: เซิร์ฟเวอร์เต็มหรือไม่พร้อมใช้งาน กรุณาลองใหม่ภายหลัง","Savaş başlatılamadı: sunucular ağır yüklü ya da mevcut değil. Daha sonra tekrar dene.","Không thể bắt đầu trận đấu: máy chủ đã đầy hoặc không khả dụng. Vui lòng thử lại sau."
"TID_MATCHMAKE_FAILED_101","Matchmake failed: game client is not updated yet to play this game mode. Please, try to fully restart the game!","فشل البحث عن مباراة: لم يتم تحديث عميل اللعبة لهذا النمط بعد. يرجى محاولة إعادة تشغيل اللعبة بالكامل!","匹配失败：您的游戏客户端尚未更新，无法进行此游戏模式。请尝试完全重启游戏！","配對失敗：您的遊戲客戶端尚未更新，無法進行此模式。請嘗試完全重啟遊戲！","Matchmaking fehlgeschlagen: Der Spielclient ist für diesen Modus noch nicht aktualisiert. Bitte starte das Spiel vollständig neu!","Error al emparejar: el cliente del juego no está actualizado para este modo. ¡Por favor, intenta reiniciar el juego por completo!","Ottelunhaku epäonnistui: peliasiakasta ei ole vielä päivitetty tätä pelimuotoa varten. Yritä käynnistää peli kokonaan uudelleen!","Échec de la recherche de partie : le client du jeu n’est pas encore mis à jour pour ce mode. Veuillez redémarrer complètement le jeu !","ההתאמה נכשלה: לקוח המשחק עדיין לא עודכן למצב משחק זה. נסה להפעיל את המשחק מחדש לחלוטין!","Gagal mencocokkan: klien game belum diperbarui untuk mode ini. Cobalah mulai ulang game sepenuhnya!","Matchmaking fallito: il client di gioco non è ancora aggiornato per questa modalità. Prova a riavviare completamente il gioco!","マッチメイキングに失敗しました：ゲームクライアントがこのモードに対応するようまだ更新されていません。ゲームを完全に再起動してください！","매치메이킹 실패: 게임 클라이언트가 아직 이 게임 모드를 플레이할 수 있도록 업데이트되지 않았습니다. 게임을 완전히 재시작해 주세요!","Padanan gagal: klien permainan belum dikemas kini untuk mod ini. Sila cuba mulakan semula permainan sepenuhnya!","Matchmaking mislukt: de gameclient is nog niet bijgewerkt voor deze spelmodus. Probeer het spel volledig opnieuw op te starten!","Nie udało się znaleźć meczu: klient gry nie został jeszcze zaktualizowany dla tego trybu gry. Spróbuj całkowicie zrestartować grę!","Falha ao encontrar partida: o cliente do jogo ainda não está atualizado para este modo de jogo. Por favor, tente reiniciar o jogo completamente!","Подбор противников не удался: клиент еще не обновлен для возможности играть в этом режиме. Пожалуйста, попробуйте полностью перезапустить игру!","จับคู่ล้มเหลว: ไคลเอนต์เกมยังไม่ได้อัปเดตให้เล่นโหมดนี้ได้ กรุณารีสตาร์ทเกมใหม่ทั้งหมด!","Eşleştirme başarısız: oyun istemcisi bu oyun modu için henüz güncellenmedi. Lütfen oyunu tamamen yeniden başlatın!","Ghép trận thất bại: phần mềm trò chơi chưa được cập nhật để chơi chế độ này. Vui lòng thử khởi động lại trò chơi!"
"TID_NEWS_TAB_ESPORTS","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Параметры игры</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Savaş ayarları</c>","<cd4bdfc>NB: Battle settings</c>"
"TID_NT_SPEEDRUN_RANDOM","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Забрать 10 старр дропов</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>10 tane Starr Drop aç</c>","<cf0a000>Take 10 starr drops</c>"
"TID_NT_SPEEDRUN_RANDOM_50","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Забрать 50 старр дропов</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>50 tane Starr Drop aç</c>","<cf0a0e0>Take 50 starr drops</c>"
"TID_NT_SPEEDRUN_SKINS","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Получить все скины!</c>","<c6>Unlock all skins!</c>","<c6>Bütün kostümleri aç!</c>","<c6>Unlock all skins!</c>"
"TID_NT_SPEEDRUN_UNLOCK","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Получить всех персонажей!</c>","<c7>Unlock all brawlers!</c>","<c7>Bütün savaşçıları aç!</c>","<c7>Unlock all brawlers!</c>"
"TID_NT_SPEEDRUN_UPGRADE","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Прокачать всех персонажей!</c>","<c2>Upgrade all brawlers!</c>","<c2>Bütün karakterleri son seviyeye yükselt!</c>","<c2>Upgrade all brawlers!</c>"
"TID_NT_SPEEDRUN_VANITY","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Получить все эмодзи и спреи!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Bütün rozet ve spreyleri aç!</c>","<c3>Unlock all emotes & sprays!</c>"
